os_id,os_name,topic_name,topic_id,oss_id
1,Windows,"Science and Engineering",8,1002
2,Linux,"Science and Engineering",8,1002
3,Mac,"Science and Engineering",8,1002
1,Windows,Development,4,1003
2,Linux,Development,4,1003
3,Mac,Development,4,1003
1,Windows,"Home and Education",5,1007
2,Linux,"Home and Education",5,1007
5,BSD,"Home and Education",5,1007
1,Windows,Communications,3,1008
2,Linux,Communications,3,1008
2,Linux,"Audio and Video",1,1009
2,Linux,Development,4,1020
5,BSD,Development,4,1020
2,Linux,"Science and Engineering",8,1025
5,BSD,"Science and Engineering",8,1025
1,Windows,Development,4,1027
2,Linux,Development,4,1027
3,Mac,Development,4,1027
1,Windows,"Business and Enterprise",2,1031
2,Linux,"Business and Enterprise",2,1031
3,Mac,"Business and Enterprise",2,1031
1,Windows,Development,4,1032
2,Linux,Development,4,1032
3,Mac,Development,4,1032
1,Windows,"Science and Engineering",8,1033
2,Linux,"Science and Engineering",8,1033
5,BSD,"Science and Engineering",8,1033
2,Linux,Development,4,1034
5,BSD,Development,4,1034
1,Windows,Development,4,1038
2,Linux,Development,4,1038
3,Mac,Development,4,1038
1,Windows,Communications,3,1040
2,Linux,Communications,3,1040
3,Mac,Communications,3,1040
1,Windows,Development,4,1041
2,Linux,Development,4,1041
3,Mac,Development,4,1041
1,Windows,Development,4,1043
2,Linux,Development,4,1043
3,Mac,Development,4,1043
1,Windows,Development,4,1048
2,Linux,Development,4,1048
3,Mac,Development,4,1048
1,Windows,Development,4,1050
2,Linux,Development,4,1050
3,Mac,Development,4,1050
1,Windows,"System Administration",10,1053
2,Linux,"System Administration",10,1053
3,Mac,"System Administration",10,1053
2,Linux,"Security and Utilities",9,1056
5,BSD,"Security and Utilities",9,1056
2,Linux,Development,4,1057
5,BSD,Development,4,1057
1,Windows,Development,4,1058
2,Linux,Development,4,1058
3,Mac,Development,4,1058
2,Linux,"Home and Education",5,1060
5,BSD,"Home and Education",5,1060
2,Linux,"Science and Engineering",8,1062
1,Windows,Development,4,1064
2,Linux,Development,4,1064
3,Mac,Development,4,1064
1,Windows,Communications,3,1065
2,Linux,Communications,3,1065
1,Windows,Development,4,1072
2,Linux,Development,4,1072
3,Mac,Development,4,1072
2,Linux,Development,4,1074
5,BSD,Development,4,1074
1,Windows,Development,4,1075
2,Linux,Development,4,1075
3,Mac,Development,4,1075
1,Windows,"Audio and Video",1,1076
2,Linux,"Audio and Video",1,1076
3,Mac,"Audio and Video",1,1076
1,Windows,Graphics,7,1077
2,Linux,Graphics,7,1077
3,Mac,Graphics,7,1077
1,Windows,Games,6,1079
2,Linux,Games,6,1079
3,Mac,Games,6,1079
1,Windows,Development,4,1081
2,Linux,Development,4,1081
3,Mac,Development,4,1081
2,Linux,Development,4,1082
3,Mac,Development,4,1082
1,Windows,"Science and Engineering",8,1083
2,Linux,"Science and Engineering",8,1083
3,Mac,"Science and Engineering",8,1083
1,Windows,"Business and Enterprise",2,1086
1,Windows,Games,6,1094
2,Linux,Games,6,1094
3,Mac,Games,6,1094
1,Windows,Games,6,1099
2,Linux,Games,6,1099
3,Mac,Games,6,1099
1,Windows,"System Administration",10,1100
1,Windows,"Business and Enterprise",2,1101
2,Linux,"Business and Enterprise",2,1101
3,Mac,"Business and Enterprise",2,1101
1,Windows,Games,6,1102
2,Linux,Games,6,1102
3,Mac,Games,6,1102
2,Linux,"Security and Utilities",9,1103
1,Windows,Development,4,1112
2,Linux,Development,4,1112
3,Mac,Development,4,1112
1,Windows,"Audio and Video",1,1115
2,Linux,"Audio and Video",1,1115
3,Mac,"Audio and Video",1,1115
8,Solaris,"Audio and Video",1,1115
2,Linux,"Science and Engineering",8,1118
5,BSD,"Science and Engineering",8,1118
1,Windows,"Science and Engineering",8,1134
2,Linux,"Science and Engineering",8,1134
3,Mac,"Science and Engineering",8,1134
1,Windows,Games,6,1137
2,Linux,Games,6,1137
5,BSD,Games,6,1137
1,Windows,"Science and Engineering",8,1138
2,Linux,"Science and Engineering",8,1138
3,Mac,"Science and Engineering",8,1138
1,Windows,"Science and Engineering",8,1139
2,Linux,"Science and Engineering",8,1139
3,Mac,"Science and Engineering",8,1139
2,Linux,"Science and Engineering",8,1140
1,Windows,Games,6,1141
2,Linux,Games,6,1141
1,Windows,Development,4,1142
2,Linux,Development,4,1142
3,Mac,Development,4,1142
2,Linux,"Science and Engineering",8,1144
5,BSD,"Science and Engineering",8,1144
1,Windows,Development,4,1145
2,Linux,Development,4,1145
3,Mac,Development,4,1145
1,Windows,"Security and Utilities",9,1149
2,Linux,"Security and Utilities",9,1149
3,Mac,"Security and Utilities",9,1149
8,Solaris,"Security and Utilities",9,1149
1,Windows,"System Administration",10,1152
2,Linux,"System Administration",10,1152
3,Mac,"System Administration",10,1152
1,Windows,"Security and Utilities",9,1153
3,Mac,"Security and Utilities",9,1153
5,BSD,"Security and Utilities",9,1153
8,Solaris,"Security and Utilities",9,1153
1,Windows,Games,6,1157
1,Windows,Development,4,1158
2,Linux,Development,4,1158
3,Mac,Development,4,1158
5,BSD,Development,4,1158
1,Windows,Development,4,1159
1,Windows,Development,4,1163
2,Linux,Development,4,1163
5,BSD,Development,4,1163
