topic_id,topic_name,oss_id,license_id,license_name
4,Development,285,41,boost_software_license_(bsl1.0)
4,Development,286,5,apache_license_v2.0
4,Development,288,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,290,3,gnu_general_public_license_version_3.0_(gplv3)
8,"Science and Engineering",291,5,apache_license_v2.0
2,"Business and Enterprise",294,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
2,"Business and Enterprise",294,5,apache_license_v2.0
4,Development,296,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",297,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,299,22,eclipse_public_license
6,Games,300,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,302,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,303,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",304,17,other_license
10,"System Administration",308,12,common_public_license_1.0
4,Development,309,5,apache_license_v2.0
4,Development,310,3,gnu_general_public_license_version_3.0_(gplv3)
6,Games,311,3,gnu_general_public_license_version_3.0_(gplv3)
2,"Business and Enterprise",312,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,313,2,bsd_license
4,Development,316,6,mit_license
6,Games,317,5,apache_license_v2.0
10,"System Administration",318,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,319,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,322,2,bsd_license
4,Development,325,1,gnu_general_public_license_version_2.0_(gplv2)
2,"Business and Enterprise",326,1,gnu_general_public_license_version_2.0_(gplv2)
2,"Business and Enterprise",327,2,bsd_license
4,Development,330,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,331,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,336,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",337,1,gnu_general_public_license_version_2.0_(gplv2)
1,"Audio and Video",338,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,340,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",341,3,gnu_general_public_license_version_3.0_(gplv3)
8,"Science and Engineering",343,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,344,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",345,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,346,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,346,22,eclipse_public_license
4,Development,347,3,gnu_general_public_license_version_3.0_(gplv3)
10,"System Administration",348,2,bsd_license
9,"Security and Utilities",350,3,gnu_general_public_license_version_3.0_(gplv3)
7,Graphics,351,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
10,"System Administration",352,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",354,3,gnu_general_public_license_version_3.0_(gplv3)
10,"System Administration",355,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",355,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
9,"Security and Utilities",359,14,affero_gnu_public_license
9,"Security and Utilities",359,17,other_license
6,Games,360,19,creative_commons_attribution_sharealike_license_v3.0
4,Development,361,3,gnu_general_public_license_version_3.0_(gplv3)
2,"Business and Enterprise",362,5,apache_license_v2.0
4,Development,364,22,eclipse_public_license
10,"System Administration",365,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,366,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,366,16,public_domain
9,"Security and Utilities",368,22,eclipse_public_license
4,Development,370,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
8,"Science and Engineering",371,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,372,2,bsd_license
2,"Business and Enterprise",373,14,affero_gnu_public_license
8,"Science and Engineering",374,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,378,5,apache_license_v2.0
6,Games,380,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
2,"Business and Enterprise",386,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",387,3,gnu_general_public_license_version_3.0_(gplv3)
10,"System Administration",388,3,gnu_general_public_license_version_3.0_(gplv3)
10,"System Administration",388,10,apache_software_license
4,Development,389,1,gnu_general_public_license_version_2.0_(gplv2)
2,"Business and Enterprise",396,44,zope_public_license
5,"Home and Education",397,14,affero_gnu_public_license
4,Development,398,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,399,5,apache_license_v2.0
8,"Science and Engineering",400,9,artistic_license
4,Development,401,3,gnu_general_public_license_version_3.0_(gplv3)
2,"Business and Enterprise",402,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",404,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,406,3,gnu_general_public_license_version_3.0_(gplv3)
8,"Science and Engineering",407,3,gnu_general_public_license_version_3.0_(gplv3)
1,"Audio and Video",408,21,zlib_libpng_license
2,"Business and Enterprise",409,3,gnu_general_public_license_version_3.0_(gplv3)
3,Communications,411,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
8,"Science and Engineering",413,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
4,Development,415,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",416,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,417,2,bsd_license
4,Development,418,5,apache_license_v2.0
6,Games,424,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,425,5,apache_license_v2.0
2,"Business and Enterprise",426,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
4,Development,430,2,bsd_license
10,"System Administration",431,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,437,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,439,3,gnu_general_public_license_version_3.0_(gplv3)
6,Games,445,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,446,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,446,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
8,"Science and Engineering",449,2,bsd_license
4,Development,451,14,affero_gnu_public_license
8,"Science and Engineering",454,2,bsd_license
4,Development,457,45,open_font_license_1.1_(ofl_1.1)
5,"Home and Education",459,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,460,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,461,3,gnu_general_public_license_version_3.0_(gplv3)
6,Games,462,3,gnu_general_public_license_version_3.0_(gplv3)
6,Games,462,16,public_domain
10,"System Administration",463,3,gnu_general_public_license_version_3.0_(gplv3)
8,"Science and Engineering",464,3,gnu_general_public_license_version_3.0_(gplv3)
3,Communications,465,6,mit_license
3,Communications,466,3,gnu_general_public_license_version_3.0_(gplv3)
9,"Security and Utilities",468,5,apache_license_v2.0
7,Graphics,469,3,gnu_general_public_license_version_3.0_(gplv3)
7,Graphics,469,5,apache_license_v2.0
4,Development,471,6,mit_license
5,"Home and Education",478,18,creative_commons_attribution_non_commercial_license_v2.0
5,"Home and Education",478,19,creative_commons_attribution_sharealike_license_v3.0
4,Development,479,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,480,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",484,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",485,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",486,5,apache_license_v2.0
3,Communications,488,3,gnu_general_public_license_version_3.0_(gplv3)
6,Games,490,16,public_domain
6,Games,491,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",496,2,bsd_license
4,Development,499,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,500,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
4,Development,501,2,bsd_license
8,"Science and Engineering",502,1,gnu_general_public_license_version_2.0_(gplv2)
3,Communications,503,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,505,14,affero_gnu_public_license
8,"Science and Engineering",508,3,gnu_general_public_license_version_3.0_(gplv3)
8,"Science and Engineering",509,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,513,1,gnu_general_public_license_version_2.0_(gplv2)
9,"Security and Utilities",514,21,zlib_libpng_license
10,"System Administration",515,18,creative_commons_attribution_non_commercial_license_v2.0
4,Development,516,1,gnu_general_public_license_version_2.0_(gplv2)
9,"Security and Utilities",517,1,gnu_general_public_license_version_2.0_(gplv2)
7,Graphics,518,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,519,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
6,Games,523,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,524,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,525,2,bsd_license
5,"Home and Education",527,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,530,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
4,Development,533,2,bsd_license
10,"System Administration",534,2,bsd_license
8,"Science and Engineering",544,6,mit_license
8,"Science and Engineering",544,17,other_license
8,"Science and Engineering",544,19,creative_commons_attribution_sharealike_license_v3.0
7,Graphics,545,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,546,5,apache_license_v2.0
8,"Science and Engineering",547,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,548,3,gnu_general_public_license_version_3.0_(gplv3)
2,"Business and Enterprise",549,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,550,2,bsd_license
10,"System Administration",553,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,555,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,555,9,artistic_license
4,Development,556,17,other_license
4,Development,563,38,isc_license
6,Games,565,1,gnu_general_public_license_version_2.0_(gplv2)
3,Communications,568,5,apache_license_v2.0
3,Communications,569,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,571,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,572,2,bsd_license
4,Development,573,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
4,Development,575,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",576,3,gnu_general_public_license_version_3.0_(gplv3)
3,Communications,577,3,gnu_general_public_license_version_3.0_(gplv3)
10,"System Administration",579,3,gnu_general_public_license_version_3.0_(gplv3)
6,Games,580,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",581,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,587,39,creative_commons_attribution_license
8,"Science and Engineering",588,5,apache_license_v2.0
4,Development,592,5,apache_license_v2.0
1,"Audio and Video",593,2,bsd_license
1,"Audio and Video",593,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
5,"Home and Education",594,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,595,3,gnu_general_public_license_version_3.0_(gplv3)
3,Communications,600,1,gnu_general_public_license_version_2.0_(gplv2)
3,Communications,600,2,bsd_license
3,Communications,600,5,apache_license_v2.0
4,Development,602,5,apache_license_v2.0
7,Graphics,603,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",607,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
2,"Business and Enterprise",608,5,apache_license_v2.0
10,"System Administration",609,24,mozilla_public_license_2.0_(mpl_2.0)
4,Development,611,5,apache_license_v2.0
4,Development,612,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",613,5,apache_license_v2.0
4,Development,615,16,public_domain
3,Communications,617,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,623,6,mit_license
6,Games,625,1,gnu_general_public_license_version_2.0_(gplv2)
7,Graphics,627,2,bsd_license
2,"Business and Enterprise",632,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,633,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
9,"Security and Utilities",634,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,636,5,apache_license_v2.0
4,Development,637,2,bsd_license
10,"System Administration",641,6,mit_license
3,Communications,642,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,646,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,647,3,gnu_general_public_license_version_3.0_(gplv3)
7,Graphics,649,24,mozilla_public_license_2.0_(mpl_2.0)
10,"System Administration",650,6,mit_license
4,Development,651,2,bsd_license
4,Development,652,45,open_font_license_1.1_(ofl_1.1)
4,Development,655,3,gnu_general_public_license_version_3.0_(gplv3)
10,"System Administration",656,2,bsd_license
4,Development,657,6,mit_license
4,Development,658,16,public_domain
8,"Science and Engineering",659,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,660,2,bsd_license
7,Graphics,661,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,664,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,666,2,bsd_license
10,"System Administration",667,2,bsd_license
4,Development,669,6,mit_license
4,Development,669,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
4,Development,670,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,671,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,673,5,apache_license_v2.0
4,Development,676,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
3,Communications,677,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
10,"System Administration",678,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",678,9,artistic_license
4,Development,679,2,bsd_license
4,Development,680,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,681,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
4,Development,683,46,non_profit_open_software_license_3.0_(non_profit_osl_3.0)
8,"Science and Engineering",686,6,mit_license
6,Games,687,1,gnu_general_public_license_version_2.0_(gplv2)
6,Games,689,2,bsd_license
8,"Science and Engineering",690,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,692,6,mit_license
4,Development,694,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
4,Development,695,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
4,Development,698,39,creative_commons_attribution_license
9,"Security and Utilities",701,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
4,Development,706,2,bsd_license
7,Graphics,717,5,apache_license_v2.0
9,"Security and Utilities",718,3,gnu_general_public_license_version_3.0_(gplv3)
8,"Science and Engineering",719,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
3,Communications,720,2,bsd_license
4,Development,721,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,721,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
7,Graphics,722,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,723,14,affero_gnu_public_license
4,Development,724,2,bsd_license
3,Communications,725,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",726,1,gnu_general_public_license_version_2.0_(gplv2)
9,"Security and Utilities",729,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,733,17,other_license
4,Development,736,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,738,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,739,10,apache_software_license
8,"Science and Engineering",741,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
8,"Science and Engineering",743,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,744,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,747,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,750,3,gnu_general_public_license_version_3.0_(gplv3)
3,Communications,751,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,752,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,752,6,mit_license
4,Development,752,39,creative_commons_attribution_license
8,"Science and Engineering",753,6,mit_license
8,"Science and Engineering",755,18,creative_commons_attribution_non_commercial_license_v2.0
4,Development,756,1,gnu_general_public_license_version_2.0_(gplv2)
10,"System Administration",757,2,bsd_license
6,Games,759,1,gnu_general_public_license_version_2.0_(gplv2)
7,Graphics,760,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",763,17,other_license
8,"Science and Engineering",765,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",765,3,gnu_general_public_license_version_3.0_(gplv3)
8,"Science and Engineering",765,47,gnu_general_public_license_with_classpath_exception_(classpath::license)
4,Development,766,3,gnu_general_public_license_version_3.0_(gplv3)
8,"Science and Engineering",769,3,gnu_general_public_license_version_3.0_(gplv3)
10,"System Administration",772,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",775,19,creative_commons_attribution_sharealike_license_v3.0
8,"Science and Engineering",776,6,mit_license
8,"Science and Engineering",777,2,bsd_license
4,Development,778,2,bsd_license
4,Development,804,6,mit_license
4,Development,808,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,808,4,gnu_library_or_lesser_general_public_license_version_2.0_(lgplv2)
4,Development,808,5,apache_license_v2.0
4,Development,811,5,apache_license_v2.0
4,Development,816,5,apache_license_v2.0
2,"Business and Enterprise",817,39,creative_commons_attribution_license
4,Development,819,6,mit_license
4,Development,821,6,mit_license
4,Development,823,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,824,7,gnu_library_or_lesser_general_public_license_version_3.0_(lgplv3)
8,"Science and Engineering",825,2,bsd_license
4,Development,826,17,other_license
1,"Audio and Video",827,5,apache_license_v2.0
4,Development,831,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,835,2,bsd_license
10,"System Administration",837,1,gnu_general_public_license_version_2.0_(gplv2)
9,"Security and Utilities",838,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,842,5,apache_license_v2.0
4,Development,843,5,apache_license_v2.0
4,Development,844,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,845,2,bsd_license
4,Development,849,2,bsd_license
5,"Home and Education",850,5,apache_license_v2.0
10,"System Administration",852,2,bsd_license
4,Development,854,45,open_font_license_1.1_(ofl_1.1)
8,"Science and Engineering",857,3,gnu_general_public_license_version_3.0_(gplv3)
10,"System Administration",858,5,apache_license_v2.0
4,Development,862,3,gnu_general_public_license_version_3.0_(gplv3)
7,Graphics,863,1,gnu_general_public_license_version_2.0_(gplv2)
4,Development,865,5,apache_license_v2.0
8,"Science and Engineering",869,3,gnu_general_public_license_version_3.0_(gplv3)
4,Development,874,22,eclipse_public_license
4,Development,880,21,zlib_libpng_license
4,Development,882,1,gnu_general_public_license_version_2.0_(gplv2)
8,"Science and Engineering",884,2,bsd_license
