oss,topic_id,topic_name,overall_rating
217,8,"Science and Engineering",5
219,4,Development,4
220,9,"Security and Utilities",5
223,4,Development,5
226,10,"System Administration",5
228,4,Development,5
229,10,"System Administration",4
230,4,Development,5
232,4,Development,4
233,4,Development,4
234,10,"System Administration",5
235,10,"System Administration",5
236,1,"Audio and Video",5
239,6,Games,5
240,4,Development,5
244,4,Development,5
245,4,Development,5
246,4,Development,4
248,1,"Audio and Video",5
253,8,"Science and Engineering",5
254,4,Development,5
257,4,Development,5
266,4,Development,5
267,8,"Science and Engineering",5
268,4,Development,5
270,4,Development,5
271,4,Development,4
272,10,"System Administration",5
273,4,Development,5
276,4,Development,5
278,6,Games,5
279,4,Development,5
281,4,Development,5
282,4,Development,5
286,4,Development,5
288,4,Development,5
289,8,"Science and Engineering",5
290,4,Development,4
291,8,"Science and Engineering",5
294,2,"Business and Enterprise",5
296,4,Development,5
299,4,Development,4
300,6,Games,3
302,4,Development,5
303,4,Development,4
304,8,"Science and Engineering",5
308,10,"System Administration",5
309,4,Development,5
310,4,Development,5
313,4,Development,5
315,10,"System Administration",2
316,4,Development,5
317,6,Games,5
322,4,Development,5
325,4,Development,5
330,4,Development,5
336,4,Development,5
337,8,"Science and Engineering",5
340,6,Games,5
344,4,Development,5
346,4,Development,5
348,10,"System Administration",5
351,7,Graphics,5
352,10,"System Administration",5
354,10,"System Administration",5
355,10,"System Administration",5
361,4,Development,5
362,2,"Business and Enterprise",5
364,4,Development,4
368,9,"Security and Utilities",5
370,4,Development,5
371,8,"Science and Engineering",5
372,4,Development,5
373,2,"Business and Enterprise",5
378,4,Development,5
380,6,Games,4
386,2,"Business and Enterprise",5
396,2,"Business and Enterprise",5
399,4,Development,5
400,8,"Science and Engineering",5
401,4,Development,5
402,2,"Business and Enterprise",1
417,4,Development,5
424,6,Games,5
426,2,"Business and Enterprise",5
437,4,Development,5
315,10,"System Administration",2
439,4,Development,5
457,4,Development,3
463,10,"System Administration",1
468,9,"Security and Utilities",5
469,7,Graphics,5
484,10,"System Administration",1
516,4,Development,5
517,9,"Security and Utilities",5
527,5,"Home and Education",5
530,4,Development,5
534,10,"System Administration",5
304,8,"Science and Engineering",5
545,7,Graphics,5
563,4,Development,5
573,4,Development,5
579,10,"System Administration",5
603,7,Graphics,1
612,4,Development,5
625,6,Games,4
634,9,"Security and Utilities",5
636,4,Development,3
637,4,Development,5
642,3,Communications,5
647,4,Development,5
655,4,Development,5
657,4,Development,5
667,10,"System Administration",5
669,4,Development,5
671,6,Games,5
680,4,Development,5
686,8,"Science and Engineering",5
689,6,Games,5
690,8,"Science and Engineering",5
692,4,Development,4
706,4,Development,5
717,7,Graphics,5
723,4,Development,5
769,8,"Science and Engineering",5
772,10,"System Administration",5
775,8,"Science and Engineering",5
808,4,Development,5
817,2,"Business and Enterprise",5
826,4,Development,5
827,1,"Audio and Video",5
844,4,Development,5
845,4,Development,5
849,4,Development,5
882,4,Development,5
889,8,"Science and Engineering",5
891,8,"Science and Engineering",5
899,3,Communications,5
900,4,Development,5
904,9,"Security and Utilities",5
905,9,"Security and Utilities",5
911,3,Communications,5
914,8,"Science and Engineering",5
928,8,"Science and Engineering",5
932,4,Development,5
933,4,Development,5
937,4,Development,5
947,4,Development,5
949,6,Games,5
955,8,"Science and Engineering",5
961,4,Development,5
680,4,Development,5
966,8,"Science and Engineering",5
967,4,Development,5
976,4,Development,5
997,6,Games,5
1006,2,"Business and Enterprise",5
1009,1,"Audio and Video",5
1016,2,"Business and Enterprise",5
1033,8,"Science and Engineering",5
1050,4,Development,5
1055,4,Development,5
1059,10,"System Administration",5
1062,8,"Science and Engineering",5
1067,4,Development,5
1075,4,Development,5
1097,4,Development,2
1099,6,Games,5
1111,4,Development,5
1117,8,"Science and Engineering",5
1120,4,Development,5
1121,4,Development,5
1135,3,Communications,5
1140,8,"Science and Engineering",3
1145,4,Development,5
1147,8,"Science and Engineering",4
1150,10,"System Administration",5
1152,10,"System Administration",5
1153,9,"Security and Utilities",3
1154,8,"Science and Engineering",5
1157,6,Games,5
1164,2,"Business and Enterprise",5
1192,4,Development,5
1225,7,Graphics,5
1228,8,"Science and Engineering",5
1232,8,"Science and Engineering",5
1244,5,"Home and Education",5
1247,2,"Business and Enterprise",5
