topic_name,oss_id,overall_rating,ease_rate,features_rate,overall_rating,support_rate
NULL,405,1,3,3,1,1
Development,417,5,0,0,5,0
NULL,405,1,3,3,1,1
Games,424,5,0,0,5,0
"Business and Enterprise",426,5,0,0,5,0
NULL,247,5,0,0,5,0
Development,437,5,0,0,5,0
"System Administration",315,2,0,0,2,0
Development,439,5,0,0,5,0
NULL,405,1,3,3,1,1
Development,457,3,0,0,3,0
"System Administration",463,1,0,0,1,0
"Security and Utilities",468,5,0,0,5,0
Graphics,469,5,0,0,5,0
NULL,477,5,0,0,5,0
"System Administration",484,1,0,0,1,0
Development,516,5,0,0,5,0
"Security and Utilities",517,5,0,0,5,0
"Home and Education",527,5,0,0,5,0
Development,530,5,0,0,5,0
"System Administration",534,5,0,0,5,0
"Science and Engineering",304,5,0,0,5,0
NULL,537,5,5,5,5,5
NULL,542,5,0,0,5,0
Graphics,545,5,0,0,5,0
NULL,554,5,0,0,5,0
NULL,561,5,0,0,5,0
Development,563,5,0,0,5,0
Development,573,5,0,0,5,0
"System Administration",579,5,0,0,5,0
NULL,586,5,0,0,5,0
NULL,596,5,0,0,5,0
NULL,597,5,5,5,5,5
Graphics,603,1,0,0,1,0
Development,612,5,0,0,5,0
NULL,621,5,5,5,5,4
Games,625,4,0,0,4,0
NULL,629,5,0,0,5,0
"Security and Utilities",634,5,0,0,5,0
Development,636,3,0,0,3,0
Development,637,5,0,0,5,0
NULL,640,5,0,0,5,0
Communications,642,5,0,0,5,0
Development,647,5,0,0,5,0
Development,655,5,0,0,5,0
Development,657,5,0,0,5,0
"System Administration",667,5,0,0,5,0
Development,669,5,0,0,5,0
Games,671,5,0,0,5,0
NULL,674,5,0,0,5,0
NULL,675,5,0,0,5,0
Development,680,5,0,0,5,0
"Science and Engineering",686,5,0,0,5,0
NULL,688,4,0,0,4,0
Games,689,5,0,0,5,0
"Science and Engineering",690,5,0,0,5,0
Development,692,4,0,0,4,0
NULL,674,5,0,0,5,0
Development,706,5,0,0,5,0
Graphics,717,5,0,0,5,0
Development,723,5,0,0,5,0
"Science and Engineering",769,5,0,0,5,0
"System Administration",772,5,0,0,5,0
"Science and Engineering",775,5,0,0,5,0
NULL,779,5,0,0,5,0
NULL,782,5,0,0,5,0
NULL,788,5,0,0,5,0
NULL,796,5,4,4,5,0
NULL,798,5,0,0,5,0
Development,808,5,0,0,5,0
"Business and Enterprise",817,5,0,0,5,0
NULL,822,5,5,5,5,0
Development,826,5,5,4,5,5
"Audio and Video",827,5,0,0,5,0
Development,844,5,0,0,5,0
Development,845,5,0,0,5,0
NULL,542,5,0,0,5,0
Development,849,5,0,0,5,0
NULL,859,5,5,5,5,5
NULL,867,5,0,0,5,0
Development,882,5,5,5,5,3
"Science and Engineering",889,5,4,4,5,5
"Science and Engineering",891,5,0,0,5,0
Communications,899,5,0,0,5,0
Development,900,5,0,0,5,0
"Security and Utilities",904,5,0,0,5,0
"Security and Utilities",905,5,0,0,5,0
Communications,911,5,0,0,5,0
"Science and Engineering",914,5,5,5,5,5
"Science and Engineering",928,5,0,0,5,0
NULL,674,5,0,0,5,0
Development,932,5,0,0,5,0
Development,933,5,0,0,5,0
Development,937,5,0,0,5,0
Development,947,5,0,0,5,0
Games,949,5,0,0,5,0
"Science and Engineering",955,5,0,0,5,0
Development,961,5,0,0,5,0
Development,680,5,0,0,5,0
"Science and Engineering",966,5,0,0,5,0
Development,967,5,0,0,5,0
Development,976,5,0,0,5,0
Games,997,5,0,0,5,0
"Business and Enterprise",1006,5,0,0,5,0
"Audio and Video",1009,5,0,0,5,0
"Business and Enterprise",1016,5,0,0,5,0
"Science and Engineering",1033,5,0,0,5,0
Development,1050,5,0,0,5,0
Development,1055,5,0,0,5,0
"System Administration",1059,5,0,0,5,0
"Science and Engineering",1062,5,0,0,5,0
Development,1067,5,0,0,5,0
Development,1075,5,0,0,5,0
Development,1097,2,4,1,2,0
Games,1099,5,0,0,5,0
Development,1111,5,4,4,5,4
"Science and Engineering",1117,5,0,0,5,0
Development,1120,5,0,0,5,0
Development,1121,5,4,4,5,4
Communications,1135,5,0,0,5,0
"Science and Engineering",1140,3,0,0,3,0
Development,1145,5,0,0,5,0
"Science and Engineering",1147,4,0,0,4,0
"System Administration",1150,5,0,0,5,0
"System Administration",1152,5,0,0,5,0
"Security and Utilities",1153,3,3,5,3,3
"Science and Engineering",1154,5,0,0,5,0
NULL,1155,5,0,0,5,0
Games,1157,5,0,0,5,0
"Business and Enterprise",1164,5,5,5,5,5
Development,1192,5,0,0,5,0
Graphics,1225,5,0,0,5,0
"Science and Engineering",1228,5,0,0,5,0
NULL,1230,5,0,0,5,0
"Science and Engineering",1232,5,0,0,5,0
"Home and Education",1244,5,0,0,5,0
"Business and Enterprise",1247,5,0,0,5,0
